assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_001735525.1	PRJNA224116	SAMN05384437	MCBT00000000.1	representative genome	23	23	Shewanella colwelliana	strain=CSB03KR		latest	Scaffold	Major	Full	2016/09/19	ASM173552v1	Chonnam National University	GCA_001735525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/525/GCF_001735525.1_ASM173552v1			na
GCF_016406325.1	PRJNA224116	SAMN17120581		representative genome	24	24	Shewanella putrefaciens	strain=ATCC 8071		latest	Complete Genome	Major	Full	2020/12/27	ASM1640632v1	Ocean University of China	GCA_016406325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/406/325/GCF_016406325.1_ASM1640632v1		assembly from type material	na
GCF_007197645.1	PRJNA224116	SAMN12272628	VKGK00000000.1	representative genome	25	25	Shewanella hanedai	strain=JCM 20706		latest	Contig	Major	Full	2019/07/20	ASM719764v1	Third Institute of Oceanography, State of Oceanic Administration	GCA_007197645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/197/645/GCF_007197645.1_ASM719764v1		assembly from type material	na
GCF_900111765.1	PRJNA224116	SAMN05443572	FOIB00000000.1	representative genome	33	33	Myxococcus fulvus	strain=DSM 16525		latest	Scaffold	Major	Full	2016/11/01	IMG-taxon 2693429886 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900111765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/765/GCF_900111765.1_IMG-taxon_2693429886_annotated_assembly		assembly from type material	na
GCF_001375595.1	PRJNA224116	SAMEA3309515	CVJQ00000000.1	representative genome	31967	21	Phenylobacterium immobile (ATCC 35973)	strain=(strain E)		latest	Contig	Major	Full	2015/04/06	Draft genome of P. immobile strain E (DSM 1986)	Institute of Technical Biochemistry	GCA_001375595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/375/595/GCF_001375595.1_Draft_genome_of_P._immobile_strain_E_DSM_1986_			na
GCF_000007725.1	PRJNA224116	SAMN02604289		representative genome	224915	9	Buchnera aphidicola str. Bp (Baizongia pistaciae)	strain=Bp (Baizongia pistaciae)		latest	Complete Genome	Major	Full	2003/01/29	ASM772v1	Valencia Univ.	GCA_000007725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/725/GCF_000007725.1_ASM772v1			na
GCF_000020965.1	PRJNA224116	SAMN02603928		representative genome	309799	14	Dictyoglomus thermophilum H-6-12	strain=H-6-12; ATCC 35947		latest	Complete Genome	Major	Full	2008/09/26	ASM2096v1	The J. Craig Venter Institute	GCA_000020965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/965/GCF_000020965.1_ASM2096v1		assembly from type material	na
GCF_000012885.1	PRJNA224116	SAMN02598295		representative genome	338963	19	Syntrophotalea carbinolica DSM 2380	strain=DSM 2380		latest	Complete Genome	Major	Full	2006/03/30	ASM1288v1	DOE Joint Genome Institute	GCA_000012885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1		assembly from type material	na
GCF_000010525.1	PRJNA224116	SAMD00060925		representative genome	438753	7	Azorhizobium caulinodans ORS 571	strain=ORS 571		latest	Complete Genome	Major	Full	2007/10/16	ASM1052v1	University of Tokyo	GCA_000010525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1		assembly from type material	na
GCF_000218545.1	PRJNA224116	SAMN02232005		representative genome	593907	11	Cellulomonas gilvus ATCC 13127	strain=ATCC 13127		latest	Complete Genome	Major	Full	2011/06/15	ASM21854v1	US DOE Joint Genome Institute	GCA_000218545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/545/GCF_000218545.1_ASM21854v1		assembly from type material	na
GCF_000378225.1	PRJNA224116	SAMN02440991	ARJW00000000.1	representative genome	1122236	17	Methylophilus methylotrophus DSM 46235 = ATCC 53528	strain=ATCC 53528		latest	Scaffold	Major	Full	2013/04/23	ASM37822v1	DOE Joint Genome Institute	GCA_000378225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/378/225/GCF_000378225.1_ASM37822v1		assembly from type material	na
